Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-4217.322	-4772.313	554.9907	0.6893858	0.552976	0.169095	0.186806	0.091123	1.230103	2.874103	0.7097932	0.434238	0.460276	0.0572218	0.0482639
6	-4223.089	-4777.595	554.5059	0.6893858	0.535473	0.163742	0.211746	0.0890379	1.250779	3.023713	0.9163921	0.428058	0.450885	0.0560542	0.0650029
12	-4217.777	-4771.957	554.18	0.8175298	0.544282	0.214297	0.124894	0.116528	1.185631	3.088442	1.063648	0.722096	0.0862399	0.101297	0.0903664
18	-4220.353	-4774.6	554.2473	0.8175298	0.595272	0.207713	0.151341	0.0456742	1.228922	3.031584	1.047974	0.664783	0.151066	0.097327	0.0868246
24	-4200.15	-4755.569	555.4191	0.6412369	0.546322	0.144721	0.207346	0.101611	1.318819	2.558318	0.7561569	0.601516	0.163017	0.171667	0.0638001
30	-4211.605	-4766.57	554.9651	0.6088046	0.496386	0.168091	0.240828	0.0946954	1.30942	3.015366	0.5157842	0.340902	0.426248	0.184489	0.048361
36	-4209.449	-4765.224	555.7744	0.6088046	0.486419	0.164716	0.235993	0.112873	1.331504	2.424714	0.6426311	0.476634	0.161472	0.289238	0.0726567
42	-4205.076	-4760.343	555.2667	0.6679228	0.530263	0.259323	0.0804598	0.129954	1.391705	2.582138	0.7684597	0.620155	0.117192	0.209921	0.0527323
48	-4210.774	-4766.014	555.2396	0.6588491	0.386004	0.415737	0.0608303	0.137428	1.336806	2.582138	0.8561033	0.494632	0.136772	0.28675	0.0818467
54	-4206.82	-4762.468	555.6481	0.6588491	0.515879	0.23778	0.0626739	0.183667	1.392792	2.420814	0.6599559	0.444482	0.239754	0.246848	0.0689152
60	-4214.549	-4770.459	555.9106	0.6588491	0.488332	0.225083	0.112725	0.17386	1.351019	2.263042	0.6858475	0.551199	0.238723	0.181349	0.0287283
66	-4201.846	-4758.092	556.2458	0.6588491	0.474956	0.242497	0.159267	0.12328	1.47639	1.946784	0.7060587	0.420889	0.322462	0.177617	0.0790321
72	-4196.223	-4752.845	556.6225	0.6147842	0.516634	0.197569	0.186905	0.0988926	1.59923	1.740325	0.5616368	0.456867	0.402455	0.111107	0.029571
78	-4208.306	-4764.89	556.5838	0.7546063	0.485449	0.185643	0.19422	0.134689	1.623041	1.705847	0.4783436	0.504481	0.390641	0.0811675	0.0237104
84	-4247.819	-4804.671	556.8514	0.601099	0.506456	0.193676	0.15935	0.140517	1.588586	1.475503	0.7140699	0.51156	0.284149	0.117732	0.0865593
90	-4227.253	-4783.178	555.925	0.5769405	0.457865	0.264309	0.146686	0.131139	1.341897	2.253848	0.7759778	0.58641	0.1283	0.154919	0.130371
96	-4227.381	-4782.638	555.2568	0.7451354	0.663631	0.0910125	0.14339	0.101966	1.411333	2.29582	1.127603	0.646139	0.15361	0.0971089	0.103142
102	-4221.113	-4776.433	555.3199	0.856192	0.578505	0.142805	0.1349	0.143791	1.329585	2.384238	0.8902466	0.542038	0.29178	0.0796578	0.0865247
108	-4213.763	-4768.966	555.2031	0.7982782	0.500383	0.259377	0.115867	0.124373	1.31295	2.380347	1.089729	0.537321	0.210644	0.0990245	0.15301
114	-4207.819	-4763.616	555.7965	0.6767416	0.579158	0.137378	0.139511	0.143953	1.377006	2.231058	0.7985039	0.50133	0.210114	0.243551	0.0450055
120	-4210.072	-4765.917	555.8455	0.6650344	0.552081	0.18057	0.132989	0.134361	1.390489	2.22125	0.7652704	0.539568	0.194879	0.217114	0.0484383
126	-4201.33	-4756.784	555.4545	0.6686706	0.483209	0.319215	0.0982812	0.0992949	1.458178	2.476006	0.6882375	0.580412	0.152689	0.218757	0.0481413
