Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
222	-4190.74	-4743.831	553.0914	0.9201984	0.670238	0.110731	0.156204	0.0628275	1.195314	4.012219	0.4685424	0.200037	0.647494	0.150904	0.00156492
228	-4222.636	-4777.457	554.8208	0.7394185	0.568433	0.176495	0.217639	0.0374333	1.20879	3.126155	0.4342673	0.249161	0.630113	0.116731	0.00399573
234	-4209.454	-4763.837	554.3833	0.6809112	0.525828	0.17976	0.277629	0.0167829	1.229101	3.260061	0.6828114	0.364757	0.565724	0.055392	0.0141274
240	-4217.263	-4772.979	555.7163	0.6136194	0.560045	0.229822	0.188676	0.0214567	1.41564	2.547416	0.4158848	0.214944	0.4725	0.24141	0.0711456
246	-4209.088	-4764.832	555.7433	0.7097776	0.544093	0.223276	0.201166	0.0314657	1.460009	2.472107	0.3492587	0.280754	0.556071	0.152332	0.0108428
252	-4191.47	-4746.729	555.2592	0.6727007	0.544093	0.223276	0.201166	0.0314657	1.271399	2.890681	0.3908195	0.280754	0.556071	0.152332	0.0108428
258	-4206.969	-4761.843	554.8743	0.6092565	0.542037	0.107733	0.31697	0.0332603	1.368359	3.003518	0.565684	0.338422	0.471644	0.183119	0.00681437
264	-4209.979	-4764.986	555.0074	0.5402045	0.454946	0.216066	0.294588	0.0344002	1.202136	3.003518	0.6654656	0.314877	0.487952	0.117358	0.0798138
270	-4204.124	-4758.669	554.5451	0.5905325	0.440036	0.245553	0.284933	0.0294786	1.266184	3.242891	0.6124808	0.397194	0.492582	0.0459754	0.0642485
276	-4214.347	-4769.63	555.2839	0.4794816	0.497956	0.290047	0.187928	0.0240689	1.399615	2.831171	0.5438944	0.506645	0.360387	0.12492	0.00804813
282	-4211.242	-4766.977	555.735	0.7480086	0.457646	0.299426	0.194005	0.0489233	1.363927	2.37144	0.5894594	0.274057	0.577662	0.139307	0.00897498
288	-4232.491	-4788.301	555.8093	0.7222759	0.538161	0.164709	0.182748	0.114382	1.446169	2.310954	0.5566664	0.264185	0.592874	0.134289	0.00865171
294	-4250.315	-4806.581	556.2663	0.5978294	0.483107	0.19377	0.204303	0.118821	1.35852	2.279148	0.3514323	0.244914	0.652847	0.0865334	0.0157056
300	-4232.023	-4787.485	555.4611	0.8882272	0.677759	0.091631	0.146089	0.0845207	1.352147	2.192041	0.992142	0.526492	0.36958	0.0897043	0.0142241
306	-4222.354	-4777.819	555.4644	0.6212364	0.70256	0.094984	0.114843	0.0876134	1.478977	2.225123	1.092511	0.472722	0.329663	0.181863	0.0157516
312	-4211.225	-4766.307	555.082	0.7171841	0.504627	0.257606	0.089539	0.148227	1.290769	2.604121	0.9599402	0.501028	0.356386	0.125892	0.0166947
318	-4210.1	-4763.89	553.7907	0.7171841	0.41942	0.350605	0.106776	0.123199	1.184011	3.459263	0.9320586	0.669941	0.192245	0.132148	0.00566602
